Temperatura początkowa;Współczynnik chłodzenia;Liczba iteracji;Cmax (średnia);;;;;;;
116,6666667;0,85;450;153;;;;;;;
200;0,896666667;450;153;;;;;;;
50;0,85;450;153,01;;;;;;;
66,66666667;0,85;450;153,01;;;;;;;
150;0,865555556;450;153,01;;;;;;;
50;0,881111111;400;153,02;;;n best pomiarow;Temperatura pocz�tkowa;Wsp ch�odzenia;Liczba iteracji;Cmax
50;0,927777778;450;153,02;;;30;101,67;0,89;431,67;153,02
83,33333333;0,865555556;450;153,02;;;100;114,81;0,9;423,74;153,04
100;0,85;400;153,02;;;;;;;
100;0,881111111;450;153,02;;;;;;;
133,3333333;0,865555556;450;153,02;;;;;;;
133,3333333;0,881111111;450;153,02;;;;;;;
150;0,927777778;450;153,02;;;;;;;
166,6666667;0,85;450;153,02;;;;;;;
166,6666667;0,943333333;450;153,02;;;;;;;
183,3333333;0,85;350;153,02;;;;;;;
50;0,85;350;153,03;;;;;;;
50;0,865555556;450;153,03;;;;;;;
50;0,881111111;450;153,03;;;;;;;
50;0,927777778;400;153,03;;;;;;;
50;0,943333333;450;153,03;;;;;;;
66,66666667;0,943333333;400;153,03;;;;;;;
66,66666667;0,943333333;450;153,03;;;;;;;
83,33333333;0,881111111;400;153,03;;;;;;;
100;0,896666667;400;153,03;;;;;;;
100;0,896666667;450;153,03;;;;;;;
116,6666667;0,881111111;450;153,03;;;;;;;
116,6666667;0,927777778;400;153,03;;;;;;;
116,6666667;0,943333333;450;153,03;;;;;;;
133,3333333;0,85;450;153,03;;;;;;;
166,6666667;0,881111111;400;153,03;;;;;;;
183,3333333;0,865555556;450;153,03;;;;;;;
50;0,912222222;400;153,04;;;;;;;
50;0,912222222;450;153,04;;;;;;;
66,66666667;0,865555556;400;153,04;;;;;;;
66,66666667;0,865555556;450;153,04;;;;;;;
66,66666667;0,881111111;450;153,04;;;;;;;
66,66666667;0,927777778;450;153,04;;;;;;;
83,33333333;0,85;450;153,04;;;;;;;
83,33333333;0,881111111;450;153,04;;;;;;;
83,33333333;0,927777778;450;153,04;;;;;;;
100;0,85;450;153,04;;;;;;;
100;0,865555556;450;153,04;;;;;;;
100;0,896666667;350;153,04;;;;;;;
116,6666667;0,881111111;400;153,04;;;;;;;
116,6666667;0,896666667;450;153,04;;;;;;;
116,6666667;0,927777778;450;153,04;;;;;;;
116,6666667;0,958888889;450;153,04;;;;;;;
150;0,896666667;400;153,04;;;;;;;
166,6666667;0,927777778;450;153,04;;;;;;;
166,6666667;0,943333333;400;153,04;;;;;;;
183,3333333;0,85;400;153,04;;;;;;;
200;0,865555556;450;153,04;;;;;;;
50;0,865555556;400;153,05;;;;;;;
50;0,958888889;400;153,05;;;;;;;
50;0,958888889;450;153,05;;;;;;;
66,66666667;0,896666667;450;153,05;;;;;;;
83,33333333;0,912222222;400;153,05;;;;;;;
83,33333333;0,958888889;400;153,05;;;;;;;
100;0,881111111;400;153,05;;;;;;;
100;0,912222222;400;153,05;;;;;;;
100;0,927777778;450;153,05;;;;;;;
100;0,943333333;450;153,05;;;;;;;
116,6666667;0,85;400;153,05;;;;;;;
133,3333333;0,85;400;153,05;;;;;;;
133,3333333;0,896666667;400;153,05;;;;;;;
150;0,881111111;450;153,05;;;;;;;
150;0,896666667;450;153,05;;;;;;;
150;0,943333333;450;153,05;;;;;;;
166,6666667;0,912222222;300;153,05;;;;;;;
183,3333333;0,912222222;450;153,05;;;;;;;
183,3333333;0,943333333;450;153,05;;;;;;;
183,3333333;0,958888889;450;153,05;;;;;;;
200;0,85;400;153,05;;;;;;;
200;0,881111111;450;153,05;;;;;;;
50;0,943333333;400;153,06;;;;;;;
66,66666667;0,85;400;153,06;;;;;;;
66,66666667;0,881111111;300;153,06;;;;;;;
66,66666667;0,974444444;450;153,06;;;;;;;
83,33333333;0,896666667;400;153,06;;;;;;;
83,33333333;0,896666667;450;153,06;;;;;;;
100;0,912222222;450;153,06;;;;;;;
100;0,943333333;350;153,06;;;;;;;
133,3333333;0,881111111;400;153,06;;;;;;;
133,3333333;0,912222222;450;153,06;;;;;;;
133,3333333;0,943333333;400;153,06;;;;;;;
150;0,85;450;153,06;;;;;;;
150;0,881111111;400;153,06;;;;;;;
150;0,912222222;450;153,06;;;;;;;
150;0,958888889;400;153,06;;;;;;;
166,6666667;0,85;400;153,06;;;;;;;
166,6666667;0,881111111;450;153,06;;;;;;;
166,6666667;0,896666667;400;153,06;;;;;;;
166,6666667;0,912222222;450;153,06;;;;;;;
183,3333333;0,85;450;153,06;;;;;;;
200;0,912222222;400;153,06;;;;;;;
200;0,912222222;450;153,06;;;;;;;
50;0,881111111;350;153,07;;;;;;;
66,66666667;0,85;350;153,07;;;;;;;
66,66666667;0,896666667;400;153,07;;;;;;;
83,33333333;0,85;400;153,07;;;;;;;
83,33333333;0,896666667;350;153,07;;;;;;;
83,33333333;0,912222222;450;153,07;;;;;;;
83,33333333;0,943333333;450;153,07;;;;;;;
116,6666667;0,865555556;400;153,07;;;;;;;
116,6666667;0,865555556;450;153,07;;;;;;;
116,6666667;0,896666667;400;153,07;;;;;;;
133,3333333;0,85;300;153,07;;;;;;;
133,3333333;0,896666667;450;153,07;;;;;;;
133,3333333;0,912222222;400;153,07;;;;;;;
133,3333333;0,927777778;400;153,07;;;;;;;
133,3333333;0,943333333;450;153,07;;;;;;;
133,3333333;0,958888889;450;153,07;;;;;;;
150;0,912222222;400;153,07;;;;;;;
150;0,943333333;400;153,07;;;;;;;
166,6666667;0,865555556;300;153,07;;;;;;;
166,6666667;0,865555556;400;153,07;;;;;;;
183,3333333;0,865555556;400;153,07;;;;;;;
183,3333333;0,896666667;450;153,07;;;;;;;
183,3333333;0,927777778;350;153,07;;;;;;;
183,3333333;0,927777778;400;153,07;;;;;;;
200;0,927777778;350;153,07;;;;;;;
200;0,927777778;450;153,07;;;;;;;
50;0,881111111;300;153,08;;;;;;;
50;0,896666667;400;153,08;;;;;;;
50;0,974444444;450;153,08;;;;;;;
66,66666667;0,958888889;400;153,08;;;;;;;
83,33333333;0,85;350;153,08;;;;;;;
83,33333333;0,865555556;400;153,08;;;;;;;
133,3333333;0,865555556;350;153,08;;;;;;;
133,3333333;0,865555556;400;153,08;;;;;;;
133,3333333;0,927777778;450;153,08;;;;;;;
166,6666667;0,85;350;153,08;;;;;;;
166,6666667;0,865555556;350;153,08;;;;;;;
166,6666667;0,865555556;450;153,08;;;;;;;
166,6666667;0,896666667;350;153,08;;;;;;;
166,6666667;0,927777778;400;153,08;;;;;;;
166,6666667;0,958888889;400;153,08;;;;;;;
166,6666667;0,958888889;450;153,08;;;;;;;
183,3333333;0,881111111;450;153,08;;;;;;;
183,3333333;0,896666667;350;153,08;;;;;;;
200;0,85;450;153,08;;;;;;;
200;0,865555556;350;153,08;;;;;;;
200;0,865555556;400;153,08;;;;;;;
200;0,881111111;400;153,08;;;;;;;
200;0,943333333;450;153,08;;;;;;;
50;0,896666667;450;153,09;;;;;;;
50;0,927777778;350;153,09;;;;;;;
50;0,943333333;300;153,09;;;;;;;
66,66666667;0,881111111;400;153,09;;;;;;;
66,66666667;0,912222222;400;153,09;;;;;;;
66,66666667;0,912222222;450;153,09;;;;;;;
66,66666667;0,958888889;450;153,09;;;;;;;
83,33333333;0,912222222;350;153,09;;;;;;;
83,33333333;0,927777778;400;153,09;;;;;;;
83,33333333;0,943333333;400;153,09;;;;;;;
100;0,865555556;400;153,09;;;;;;;
100;0,974444444;450;153,09;;;;;;;
116,6666667;0,912222222;350;153,09;;;;;;;
133,3333333;0,85;350;153,09;;;;;;;
133,3333333;0,881111111;300;153,09;;;;;;;
150;0,85;350;153,09;;;;;;;
150;0,881111111;300;153,09;;;;;;;
166,6666667;0,85;300;153,09;;;;;;;
166,6666667;0,974444444;400;153,09;;;;;;;
200;0,881111111;350;153,09;;;;;;;
200;0,896666667;350;153,09;;;;;;;
200;0,927777778;400;153,09;;;;;;;
50;0,85;300;153,1;;;;;;;
50;0,85;400;153,1;;;;;;;
50;0,865555556;350;153,1;;;;;;;
66,66666667;0,865555556;350;153,1;;;;;;;
66,66666667;0,881111111;350;153,1;;;;;;;
66,66666667;0,912222222;300;153,1;;;;;;;
66,66666667;0,927777778;350;153,1;;;;;;;
100;0,85;300;153,1;;;;;;;
100;0,927777778;350;153,1;;;;;;;
100;0,958888889;450;153,1;;;;;;;
116,6666667;0,865555556;350;153,1;;;;;;;
116,6666667;0,881111111;350;153,1;;;;;;;
116,6666667;0,912222222;400;153,1;;;;;;;
116,6666667;0,912222222;450;153,1;;;;;;;
116,6666667;0,927777778;300;153,1;;;;;;;
133,3333333;0,958888889;400;153,1;;;;;;;
150;0,865555556;400;153,1;;;;;;;
150;0,896666667;300;153,1;;;;;;;
166,6666667;0,881111111;350;153,1;;;;;;;
166,6666667;0,912222222;400;153,1;;;;;;;
183,3333333;0,912222222;350;153,1;;;;;;;
183,3333333;0,912222222;400;153,1;;;;;;;
183,3333333;0,927777778;450;153,1;;;;;;;
200;0,85;300;153,1;;;;;;;
50;0,896666667;350;153,11;;;;;;;
83,33333333;0,865555556;350;153,11;;;;;;;
83,33333333;0,927777778;350;153,11;;;;;;;
100;0,927777778;400;153,11;;;;;;;
150;0,85;400;153,11;;;;;;;
150;0,881111111;350;153,11;;;;;;;
166,6666667;0,896666667;450;153,11;;;;;;;
183,3333333;0,896666667;400;153,11;;;;;;;
183,3333333;0,912222222;300;153,11;;;;;;;
183,3333333;0,943333333;400;153,11;;;;;;;
200;0,896666667;400;153,11;;;;;;;
200;0,958888889;450;153,11;;;;;;;
50;0,912222222;350;153,12;;;;;;;
50;0,958888889;350;153,12;;;;;;;
66,66666667;0,865555556;300;153,12;;;;;;;
100;0,896666667;300;153,12;;;;;;;
116,6666667;0,896666667;350;153,12;;;;;;;
116,6666667;0,943333333;400;153,12;;;;;;;
116,6666667;0,958888889;400;153,12;;;;;;;
133,3333333;0,896666667;350;153,12;;;;;;;
133,3333333;0,912222222;300;153,12;;;;;;;
133,3333333;0,927777778;350;153,12;;;;;;;
150;0,865555556;350;153,12;;;;;;;
150;0,927777778;400;153,12;;;;;;;
150;0,974444444;400;153,12;;;;;;;
166,6666667;0,881111111;300;153,12;;;;;;;
166,6666667;0,896666667;300;153,12;;;;;;;
166,6666667;0,974444444;450;153,12;;;;;;;
200;0,85;350;153,12;;;;;;;
200;0,865555556;300;153,12;;;;;;;
66,66666667;0,85;300;153,13;;;;;;;
66,66666667;0,912222222;350;153,13;;;;;;;
66,66666667;0,927777778;400;153,13;;;;;;;
66,66666667;0,958888889;350;153,13;;;;;;;
83,33333333;0,881111111;300;153,13;;;;;;;
83,33333333;0,881111111;350;153,13;;;;;;;
100;0,85;350;153,13;;;;;;;
100;0,865555556;350;153,13;;;;;;;
100;0,912222222;300;153,13;;;;;;;
100;0,943333333;400;153,13;;;;;;;
116,6666667;0,85;300;153,13;;;;;;;
116,6666667;0,943333333;350;153,13;;;;;;;
150;0,943333333;350;153,13;;;;;;;
